var,sub_var,order,Cassava,Maize,Rice,Groundnut,Cowpea,Imperata,Sugarcane,Mucuna,Yours4,Weed
CQ_CTimeGenCurr,,1,90,30,50,40,100,3,3,1,30,100
CQ_CTimeVegCurr,,2,180,60,70,60,180,727,330,360,60,60
CQ_SingleCycle_is_Cur,,3,1,1,1,1,1,1,1,0,0,0
CQ_DOYFlwDOYBegin,,4,1,1,1,1,1,1,1,1,1,250
CQ_DOYFlwEnd,,5,365,365,365,365,365,365,181,365,365,280
CQ_GroMaxCurr,,6,0.0173,0.014,0.02,0.0196,0.02,0.09,0.02,0.047,0.02,0.02
CQ_GSeedCurr,,7,0.002,0.004,0.005,0.01,0.01,0.005,0.02,0.01,0.004,0.004
CQ_TranspRatioCurr,,8,500,300,500,500,500,500,300,100,300,300
CQ_HBiomConvCurr,,9,5,7,5,1.5,1.25,5,0.7,0.01,7,7
CQ_RemobFrac,,10,0.015,0.05,0.04,0.01,0.02,0.04,0.05,0,0.05,0.05
CQ_kLightCurr,,11,0.58,0.65,0.45,0.6,0.8,0.45,0.5,0.8,0.65,0.65
CQ_RelLightMaxCurr,,12,1,1,1,0.9,0.9,1,1,0.9,1,1
C_LAIMax,,13,10,5,5,5,5,5,10,5,5,5
CQ_RainWStorCapCurr,,14,1,1,1,1,1,1,1,1,1,1
CQ_ConductivityCurr,,15,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
CQ_PotSuctAlphMaxCurr,,16,-5000,-5000,-5000,-5000,-5000,-5000,-5000,-5000,-5000,-5000
CQ_PotSuctAlphMinCurr,,17,-15000,-15000,-15000,-15000,-15000,-15000,-15000,-15000,-15000,-15000
CQ_ClosedCanCurr,,18,0.2,0.2,0.2,0.2,0.2,0.2,7.7,0.2,0.2,0.2
CQ_NConcOldCurr,N,19,0.01,0.01,0.01,0.01,0.01,0.01,0.005,0.01,0.01,0.01
CQ_NConcOldCurr,P,20,0.001,0.0025,0.001,0.001,0.001,0.001,0.0007,0.001,0.001,0.001
CQ_NConcYoungCurr,N,21,0.015,0.015,0.015,0.015,0.015,0.015,0.012,0.015,0.015,0.015
CQ_NConcYoungCurr,P,22,0.005,0.007,0.005,0.005,0.005,0.005,0.0008,0.005,0.005,0.005
CQ_NRtConcCurr,,23,0.01,0.01,0.01,0.01,0.01,0.01,0.005,0.01,0.01,0.01
CQ_NFixVariable_is_Curr,,24,0,0,0,0,0,0,0,0,0,0
CQ_NFixDailyFracCurr,,25,0,0,0,0.45,0.5,0,0,0.5,0,0
CQ_NFixRespCurr,,26,1,1,1,1,1,1,0,1,1,1
CQ_NFixDWMaxFracCurr,,27,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1
CQ_NFixDWUnitCostCurr,,28,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01
CQ_RtDiam,,29,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Lrvm,1,30,1,5,5,1.5,2,5,1.881,2,3,3
Lrvm,2,31,0.7,3,1,1,1,1,0.906,1,2,2
Lrvm,3,32,0.5,0.3,0.5,0.2,0.1,0.5,0.2,0.5,1,1
Lrvm,4,33,0.05,0,0.01,0.001,0.01,0.01,0.05,0,0.5,0.5
RT_CLraC,,34,50,100,100,50,40,100,100,50,100,100
RT_CDecDepthC,,35,5,7,4,7,7,4,1.7,7,7,7
RT_CSRLCurr,,36,70,200,200,50,50,200,150,100,100,100
RT_CHalfLifeCurr,,37,50,50,50,50,50,50,50,50,50,50
RT_CRtAllocRespCurr,,38,0,2,0,0,0,0,0,0,0,0
RT_CDistResp,,39,1,1,1,1,1,1,1,1,1,1
CQ_MaxMycInf,,40,0.3,0.25,0.2,0.3,0.3,0.2,0.25,0.2,0.2,0.3
N_CRhizKaPMod,,41,0,0,0,0,0,0,0,0,0,0
N_CNutMob,N,42,0,0,0,0,0,0,0,0,0,0
N_CNutMob,P,43,0,0,0,0,0,0,0,0,0,0
CQ_LignResidCurr,,44,0.31,0.2,0.2,0.2,0.2,0.2,0.25,0.2,0.2,0.2
CQ_LignRootResCurr,,45,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CQ_PolyResid,,46,0.08,0,0,0,0,0,0,0,0,0
CQ_PolyRt,,47,0,0,0,0,0,0,0,0,0,0
CQ_CovEffCurr,,48,0.2,0.3,0.5,0.6,0.5,0.5,0,1,0.5,0.6
PD_CropsEaten_is,Pigs,49,0,0,0,0,0,0,0,0,0,0
PD_CropsEaten_is,Monkeys,50,0,0,0,0,0,0,0,0,0,0
PD_CropsEaten_is,Grasshoppers,51,0,0,0,0,0,0,0,0,0,0
PD_CropsEaten_is,Nematodes,52,0,0,0,0,0,0,0,0,0,0
PD_CropsEaten_is,Goats,53,0,0,0,0,0,0,0,0,0,0
PD_CropsEaten_is,Buffalo,54,0,0,0,0,0,0,0,0,0,0
PD_CropsEaten_is,Birds,55,0,0,0,0,0,0,0,0,0,0
CQ_AgronYieldMoistFrac,,56,0.65,0.15,0.15,0.1,0.1,0.15,0.75,0.1,0.1,0.1
P_CPlantLab,,57,30,25,15,10,10,15,24,15,15,15
P_CWeedLab,,58,29,0,25,25,25,25,22.5,30,30,30
P_CPestConLab,,59,3.5,0,60,10,10,60,3.5,10,10,10
P_CHarvLab,,60,1.78,2,22,15,12,22,1.54,10,10,30
P_CFertLab,,61,2,2,5,3,2.3,2.3,2.3,2.3,2.3,10
P_PriceCSeed,Social,62,300,2350,1130,3000,2500,1130,60,2000,2000,2000
P_PriceCSeed,Private,63,300,2350,1175,3000,2500,1175,60,2000,2000,2000
P_CYieldPrice,Social,64,300,395,540,1500,1200,540,185,700,700,700
P_CYieldPrice,Private,65,300,395,540,1500,1200,540,185,700,500,500
CQ_CRelLUE,0,66,0.746156867,1.174133741,0.962086369,0.686541358,2.217116023,0.962086369,1.174133741,0,0,1
CQ_CRelLUE,0.1,67,0.813466461,1.019052584,0.918143948,0.744835199,2.140550363,0.918143948,1.019052584,0.2,0.01,1
CQ_CRelLUE,0.2,68,0.881146281,0.863971427,0.874201527,0.80312904,2.063984703,0.874201527,0.863971427,0.2,0.02,1
CQ_CRelLUE,0.3,69,0.957896642,0.70889027,0.88767872,0.854646953,1.987419043,0.88767872,0.70889027,0.25,0.027,1
CQ_CRelLUE,0.4,70,1.033865825,0.677211089,0.958575526,0.865509291,1.843213237,0.958575526,0.677211089,0.25,0.033,1
CQ_CRelLUE,0.5,71,1.100656156,0.707232896,1.029472332,0.87637163,1.665187359,1.029472332,0.707232896,0.25,0.049,1
