var,type,subtype,id,group_id,order,style,module
AF_AnyTrees_is,vars,,-1,0,,Slider (0-1),Simulation
AF_Circ,vars,,9,0,,Options between Parkland (1) and Alley Cropping (0),Core
AF_Crop_is,vars,,-1,0,,Slider (0-1),Simulation
AF_DepthLay,arrays,layer,9,0,,,Core
AF_DynPestImpacts_is,vars,,-1,0,,Slider (0-1),Simulation
AF_RunNutLim_is,arrays,nut,-1,0,,Slider (0-1),Simulation
AF_RunWatLim_is,vars,,-1,0,,Slider (0-1),Simulation
AF_TreePosit,arrays,tree,9,0,,,Core
AF_ZoneTot,vars,,9,0,,,Core
AF_ZoneWidth,arrays,zone,9,0,,,Core
CA_DOYStart,vars,,-1,0,,Slider (0-365),Simulation
RAIN_Multiplier,vars,,-1,0,,Slider (0-1),Simulation
T_RelPosinZone,arrays,tree,9,0,,,Core
T_Treesperha,arrays,tree,9,0,,,Core
W_Hyd_is,vars,,999,0,,,Core
W_WaterLog_is,vars,,-1,0,,Slider (0-1),Simulation
C_TMin,vars,,12,0,,,Core
C_TOpt,vars,,12,0,,,Core
EVAP_MonthlyMean_AirTemp,arrays,calender,15,0,,Keep as previous,Core
EVAP_MonthlyMean_DayLength,arrays,calender,15,0,,Keep as previous,Core
RAIN_AType,vars,,999,0,,option (4 options) then hyperlink to each types,Core
RAIN_BoundHeaLi,vars,,19,0,,,Core
RAIN_CoefVar3,vars,,19,0,,,Core
RAIN_CoefVar4,vars,,20,0,,,Core
RAIN_Data,graphs,,21,0,,,Core
RAIN_DayProp,graphs,,19,0,,,Core
RAIN_GenSeed,vars,,19,0,,,Core
RAIN_Heavy,vars,,19,0,,,Core
RAIN_HeavyP,vars,,19,0,,,Core
RAIN_Light,vars,,19,0,,,Core
RAIN_MonthlyMean_RainfallMax,vars,,22,0,,,Core
RAIN_MonthlyMean_RainfallMin,vars,,22,0,,,Core
RAIN_MonthlyMean_TotalRainfall,arrays,calender,22,0,,,Core
RAIN_MonthTot,graphs,,20,0,,,Core
RAIN_Numberof_DaysperMonth,arrays,calender,22,0,,,Core
RAIN_Numberof_WetDaypM,arrays,calender,22,0,,,Core
RAIN_OffsetValue,vars,,22,0,,,Core
RAIN_Pattern1_Max,vars,,22,0,,,Core
RAIN_Pattern1_Min,vars,,22,0,,,Core
RAIN_Peakines_Season1,vars,,22,0,,,Core
RAIN_Peakines_Season2,vars,,22,0,,,Core
RAIN_Probability,vars,,22,0,,,Core
RAIN_RelWet_PersistencepM,arrays,calender,22,0,,,Core
RAIN_Shape_Max,vars,,22,0,,,Core
RAIN_Shape_Min,vars,,22,0,,,Core
RAIN_UniorBimodial_is,vars,,22,0,,,Core
RAIN_Weibull_Param,vars,,22,0,,,Core
RAIN_WettestMonth_Season1,vars,,22,0,,,Core
RAIN_WettestMonth_Season2,vars,,22,0,,,Core
RAIN_CumDay,graphs,,20,0,,,Core
TEMP_AirDailyData,graphs,,12,0,,,Core
TEMP_AType,vars,,999,0,,"Options for Type 1, Type 2, Type 3",Core
TEMP_Cons,vars,,1001,0,,,Core
TEMP_DailyPotEvap,graphs,,16,0,,Table,Core
TEMP_MonthAvg,graphs,,1002,0,,,Core
TEMP_PotEvapConst,vars,,17,0,,Keep as previous,Core
TEMP_PotEvapConst_is,vars,,999,0,,"Options with hyperlink (1 = TEMP_PotEvapConst, 0 = TEMP_DailyPotEvap, 2 = EVAP_MonthlyMean_AirTemp and EVAP_MonthlyMean_DayLength)",Core
TEMP_SoilDailyData,graphs,,1000,0,,,Core
C_CanLow,arrays,zone,999,0,,,Additional
CA_ComplCrop,arrays,zone,999,0,,,Additional
CA_PlantDoY,graphs,,6,0,,Table per Zone,Core
CA_PlantYear,graphs,,6,0,,Table per Zone,Core
CQ_AgronYieldMoistFrac,arrays,crop,7,0,,Keep as previous,Core
CQ_CHarvAlloc,graphs,,7,0,,Keep as previous,Core
CQ_ClosedCanCurr,arrays,crop,7,0,,Keep as previous,Core
CQ_CLWR,graphs,,7,0,,Keep as previous,Core
CQ_ConductivityCurr,arrays,crop,7,0,,Keep as previous,Core
CQ_CovEffCurr,arrays,crop,7,0,,Keep as previous,Core
CQ_CRelLUE,graphs,,7,0,,Keep as previous,Core
CQ_CropGraze,vars,,7,0,,Keep as previous,Core
CQ_CropType,graphs,,999,0,,,Additional
CQ_CropWeedSwitch,arrays,zone,7,0,,Keep as previous,Core
CQ_CRtAlloc,graphs,,7,0,,Keep as previous,Core
CQ_CSLA,graphs,,7,0,,Keep as previous,Core
CQ_CTimeGenCurr,arrays,crop,7,0,,Keep as previous,Core
CQ_CTimeVegCurr,arrays,crop,7,0,,Keep as previous,Core
CQ_DOYFlwDOYBegin,arrays,crop,7,0,,Keep as previous,Core
CQ_DOYFlwEnd,arrays,crop,7,0,,Keep as previous,Core
CQ_GroMaxCurr,arrays,crop,7,0,,Keep as previous,Core
CQ_GSeedCurr,arrays,crop,7,0,,Keep as previous,Core
CQ_HBiomConvCurr,arrays,crop,7,0,,Keep as previous,Core
CQ_kLightCurr,arrays,crop,7,0,,Keep as previous,Core
CQ_LignResidCurr,arrays,crop,7,0,,Keep as previous,Core
CQ_LignRootResCurr,arrays,crop,7,0,,Keep as previous,Core
CQ_MaxMycInf,arrays,crop,7,0,,Keep as previous,Core
CQ_NConcOldCurr,arrays,cropnut,7,0,,Keep as previous,Core
CQ_NConcYoungCurr,arrays,cropnut,7,0,,Keep as previous,Core
CQ_NFixDailyFracCurr,arrays,crop,7,0,,Keep as previous,Core
CQ_NFixDWMaxFracCurr,arrays,crop,7,0,,Keep as previous,Core
CQ_NFixDWUnitCostCurr,arrays,crop,7,0,,Keep as previous,Core
CQ_NFixRespCurr,arrays,crop,7,0,,Keep as previous,Core
CQ_NFixVariable_is_Curr,arrays,crop,7,0,,Keep as previous,Core
CQ_NRtConcCurr,arrays,crop,7,0,,Keep as previous,Core
CQ_PolyResid,arrays,crop,7,0,,Keep as previous,Core
CQ_PolyRt,arrays,crop,7,0,,Keep as previous,Core
CQ_PotSuctAlphMaxCurr,arrays,crop,7,0,,Keep as previous,Core
CQ_PotSuctAlphMinCurr,arrays,crop,7,0,,Keep as previous,Core
CQ_RainWStorCapCurr,arrays,crop,7,0,,Keep as previous,Core
CQ_RelLightMaxCurr,arrays,crop,7,0,,Keep as previous,Core
CQ_RemobFrac,arrays,crop,7,0,,Keep as previous,Core
CQ_RtDiam,arrays,crop,7,0,,Keep as previous,Core
CQ_SingleCycle_is_Cur,arrays,crop,7,0,,Keep as previous,Core
CQ_Stage,arrays,zone,7,0,,Keep as previous,Core
CQ_StageAfterGraze,vars,,7,0,,Keep as previous,Core
CQ_TranspRatioCurr,arrays,crop,7,0,,Keep as previous,Core
Lrvm,arrays,croplayer,7,0,,Keep as previous,Core
CQ_Species,arrays,crop,7,0,,Keep as previous,Core
P_BurnLab,vars,,38,0,,,Additional
P_CFertLab,arrays,crop,999,0,,,Additional
P_CHarvLab,arrays,crop,999,0,,,Additional
P_CNuFertAppperCropSeason,vars,,38,0,,,Additional
P_CPestConLab,arrays,crop,999,0,,,Additional
P_CPestContPrice,arrays,price,38,0,,,Additional
P_CPlantLab,arrays,crop,999,0,,,Additional
P_CWeedLab,arrays,crop,999,0,,,Additional
P_CYieldPrice,arrays,cropprice,999,0,,,Additional
P_DiscountRate,vars,,38,0,,,Additional
P_FenceMatCost,arrays,price,38,0,,,Additional
P_LabourforPestContrl_is,vars,,38,0,,,Additional
P_LabourforWeed_is,vars,,38,0,,,Additional
P_PriceCSeed,arrays,cropprice,999,0,,,Additional
P_PriceFert,arrays,nutprice,38,0,,,Additional
P_TFertLab,arrays,tree,38,0,,,Additional
P_TFruitHarvLab,arrays,tree,999,0,,,Additional
P_TFruitPrice,arrays,treeprice,999,0,,,Additional
P_TLatexHarvLab,arrays,tree,999,0,,,Additional
P_TLatexPrice,arrays,treeprice,999,0,,,Additional
P_TNuFertAppperTreeAge,arrays,tree,38,0,,,Additional
P_TPlantLab,arrays,tree,999,0,,,Additional
P_TPrunLab,arrays,tree,999,0,,,Additional
P_TPrunPrice,arrays,treeprice,999,0,,,Additional
P_TSeedPrice,arrays,treeprice,999,0,,,Additional
P_TWoodHarvLab,arrays,tree,999,0,,,Additional
P_TWoodPrice,arrays,treeprice,999,0,,,Additional
P_UnitLabCost,arrays,price,38,0,,,Additional
T_FruitMoistFrac,arrays,tree,38,0,,,Additional
T_LatexMoistFrac,arrays,tree,38,0,,,Additional
T_PrunMoistFrac,arrays,tree,38,0,,,Additional
T_WoodMoistFrac,arrays,tree,38,0,,,Additional
AF_SimulateWeeds_is,vars,,43,0,,,Additional
AF_TreeCircleWeedFree_is,vars,,43,0,,,Additional
AF_WeedZn_is,arrays,zone,43,0,,,Additional
ASH_init_BD,vars,,45,0,,,Additional
ASH_Init_Water,vars,,45,0,,,Additional
ASH_layer_depth,arrays,zone,45,0,,,Additional
ASH_SOM_pools,vars,,45,0,,,Additional
ASH_Time,vars,,45,0,,,Additional
C_ApplyMaintResp_is,vars,,49,0,,,Additional
C_BiomHarv_is,vars,,50,0,,,Additional
C_BiomHarvestDoY,graphs,,50,0,,Table Harvest Crop,Additional
C_BiomHarvestFracD,graphs,,50,0,,Table Harvest Crop,Additional
C_BiomHarvestY,graphs,,50,0,,Table Harvest Crop,Additional
C_DailyWeedSeedDecayFrac,vars,,43,0,,,Additional
C_RelRespGroRes,vars,,49,0,,,Additional
C_RelRespRt,vars,,49,0,,,Additional
C_RelRespStLv,vars,,49,0,,,Additional
C_RelRespYieldCurr,vars,,49,0,,,Additional
C_ResidRemovalFrac,vars,,51,0,,,Additional
C_RespperBiom,vars,,49,0,,,Additional
C_RespTemp,graphs,,49,0,,,Additional
C_WeedGermFrac,vars,,43,0,,,Additional
C_WeedSeedBankInit,vars,,43,0,,,Additional
C_WeedSeedExtInflux,vars,,43,0,,,Additional
CA_ExtOrgApply_is,graphs,,52,0,,Table,Additional
CA_FertAmount,graphs,,52,0,,Table,Additional
CA_FertAppDoY,graphs,,52,0,,Table,Additional
