var,sub_var,order,Cacao Sulawesi,Cacao-Di,Cacao-M,Cacao-N,Cacao-V,Cacao-Da,Nephelium sp,Artocarpus integer,Psidium guajava L.,Eugenia aquea,Phitecellobium jaringa,Paraserianthes falcataria,Anacardium occidentale,Leucaena leucocephala,Artocarpus heterophyllus,Parkia sp.,Hevea brasilinsis,Annona muricata L.,Gnetum gnemon,Theobroma cacao,Durio zibenthinus Murr.,Mangifera indica,Ceiba pentandra,Achras zapota,Acasia mangium,Tectona grandis,Elais guneensis,Swietenia mahogany,Swietenia macrophilla,Alstonia sp,Peronema canescens,Coffee sp,Bamboo,Gmelina arborea,Lansium domesticum
T_TimeVeg,,1,1,1217,1,1151,1217,1217,1825,1825,1825,1460,1825,1095,1095,,1825,1825,1825,1095,912.5,1095,2190,3005.88,,2920,1095,3285,5,1825,3345.83,3650,3650,900,7300,1486.71,3650
T_TimeGenCycle,,2,90,90,60,90,90,90,90,120,119,30,36,60,135,,135,60,150,90,,180,165,120,,255,199,120,9125,180,180,150,,240,3,95.12,150
T_DOYFlwBeg,,3,90,95,95,95,95,95,108,180,60,120,120,60,120,1,90,90,60,120,1,,150,90,,90,180,300,1,330,90,210,180,121,1,210,180
T_DOYFlwEnd,,4,270,230,230,230,230,230,120,210,210,240,144,84,144,365,320,180,84,150,365,,240,120,,150,210,330,165,150,120,240,210,212,365,240,210
T_InitStage,,5,0.154761905,0.154761905,0.154761905,0.154761905,0.154761905,0.154761905,0.333333333,,,,0.2,0.4,0.3,,0.2,0.4,0.25,,,,,0,,,0.25,0.25,0.5,0.08,0.11,0.1,0.05,0.5,0.1,0,0.1
T_StageAftPrun,,6,0.028333333,0.028333333,0.028333333,0.028333333,0.028333333,0.028333333,0.15,,,,0.16,0.16,0,,0.16,0.2,0.2,,,,,0,,,0.2,0.2,1,0.1,0.03,1,1,0.95,0.7,0.86,0.02
T_GroMax,,7,0.0025,0.0097,0.007,0.007,0.009,0.007,0.02,0.079,,,0.02,0.035555556,0.008888889,0.00138,0.02,0.02,0.005,,,,,0.01,,,0.025,0.025,0.02,0.02,0,0.008888889,0.008888889,0.0025,0.0245,0.02,0.01
T_GroResFrac,,8,0.025,0.025,0.025,0.025,0.0625,0.025,0.05,,,,0.05,0.025,0.05,,0.05,0.05,0.05,,,,,0.05,,,0.05,0.05,0.05,0.05,0.05,0.025,0.025,0.05,0.05,0.05,0.05
T_LWR,,9,0.85732141,0.85732141,0.85732141,0.85732141,0.85732141,0.85732141,0.324576647,,,,0.33933759,0.428660705,0.292831009,,0.422906609,0.373697739,0.45,,,,,0.49,,,0.75,0.25,0.7,1.09,0.86,0.72,0.75,1.03,0.7,0.86,0.7
T_SLA,,10,6,3.5,6,3.5,3.5,3.5,10,7,9.4,8.735,12.718,12.5,8.735,16,8.8,14.8,21.09,6.8,7.5,12.7,9,10.71,8.96,7,13.019,12.66,7,12.8,3.5,4.92,10.67,10.9,5.6,10.5,123.95
